"","passive","c1","c2","c3","part_id","sent_id"
"331",0,-0.25,-0.333333333333333,0.5,1088,75
"332",0,-0.25,-0.333333333333333,0.5,1248,75
"333",0,-0.25,-0.333333333333333,0.5,736,75
"334",0,-0.25,-0.333333333333333,0.5,992,75
"335",0,-0.25,-0.333333333333333,0.5,480,75
"336",0,-0.25,-0.333333333333333,0.5,448,75
"337",1,-0.25,-0.333333333333333,0.5,896,75
"338",0,-0.25,-0.333333333333333,0.5,288,75
"339",0,-0.25,-0.333333333333333,0.5,576,75
"340",0,-0.25,-0.333333333333333,0.5,256,75
"341",0,-0.25,-0.333333333333333,0.5,64,75
"342",0,-0.25,-0.333333333333333,0.5,928,75
"343",0,-0.25,0.666666666666667,0,928,79
"344",0,-0.25,0.666666666666667,0,672,79
"345",0,-0.25,0.666666666666667,0,1024,79
"346",0,-0.25,0.666666666666667,0,1152,79
"347",0,-0.25,0.666666666666667,0,736,79
"348",0,-0.25,0.666666666666667,0,288,79
"349",0,-0.25,0.666666666666667,0,0,79
"350",0,-0.25,0.666666666666667,0,448,79
"351",0,-0.25,0.666666666666667,0,896,79
"352",0,-0.25,0.666666666666667,0,992,79
"353",0,-0.25,0.666666666666667,0,256,79
"354",0,-0.25,0.666666666666667,0,480,79
"355",0,-0.25,0.666666666666667,0,1248,79
"356",0,-0.25,0.666666666666667,0,320,79
"357",0,-0.25,0.666666666666667,0,576,79
"358",0,-0.25,0.666666666666667,0,64,79
"359",0,-0.25,0.666666666666667,0,704,79
"360",0,-0.25,0.666666666666667,0,1088,79
"361",0,-0.25,-0.333333333333333,-0.5,672,83
"362",0,-0.25,-0.333333333333333,-0.5,928,83
"363",0,-0.25,-0.333333333333333,-0.5,1024,83
"364",0,-0.25,-0.333333333333333,-0.5,576,83
"365",0,-0.25,-0.333333333333333,-0.5,0,83
"366",0,-0.25,-0.333333333333333,-0.5,480,83
"367",0,-0.25,-0.333333333333333,-0.5,320,83
"368",0,-0.25,-0.333333333333333,-0.5,288,83
"369",0,-0.25,-0.333333333333333,-0.5,704,83
"370",0,-0.25,-0.333333333333333,-0.5,1088,83
"371",0,-0.25,-0.333333333333333,-0.5,736,83
"372",0,-0.25,-0.333333333333333,-0.5,448,83
"373",0,-0.25,-0.333333333333333,-0.5,1152,83
"374",0,-0.25,-0.333333333333333,-0.5,256,83
"375",0,-0.25,-0.333333333333333,-0.5,64,83
"376",0,-0.25,-0.333333333333333,-0.5,896,83
"377",0,-0.25,-0.333333333333333,-0.5,992,83
"378",0,-0.25,-0.333333333333333,-0.5,1248,83
"379",0,-0.25,-0.333333333333333,0.5,992,87
"380",0,-0.25,-0.333333333333333,0.5,288,87
"381",0,-0.25,-0.333333333333333,0.5,0,87
"382",0,-0.25,-0.333333333333333,0.5,672,87
"383",0,-0.25,-0.333333333333333,0.5,480,87
"384",0,-0.25,-0.333333333333333,0.5,320,87
"385",0,-0.25,-0.333333333333333,0.5,576,87
"386",0,-0.25,-0.333333333333333,0.5,896,87
"387",0,-0.25,-0.333333333333333,0.5,1024,87
"388",0,-0.25,-0.333333333333333,0.5,1088,87
"389",0,-0.25,-0.333333333333333,0.5,736,87
"390",0,-0.25,-0.333333333333333,0.5,928,87
"391",0,-0.25,-0.333333333333333,0.5,448,87
"392",0,-0.25,-0.333333333333333,0.5,704,87
"393",0,-0.25,-0.333333333333333,0.5,1152,87
"394",0,-0.25,-0.333333333333333,0.5,64,87
"395",0,-0.25,-0.333333333333333,0.5,1248,87
"396",0,-0.25,-0.333333333333333,0.5,256,87
"397",0,-0.25,-0.333333333333333,0.5,928,91
"398",0,-0.25,-0.333333333333333,0.5,896,91
"399",1,-0.25,-0.333333333333333,0.5,0,91
"400",0,-0.25,-0.333333333333333,0.5,320,91
"401",0,-0.25,-0.333333333333333,0.5,1024,91
"402",0,-0.25,-0.333333333333333,0.5,672,91
"403",0,-0.25,-0.333333333333333,0.5,1088,91
"404",0,-0.25,-0.333333333333333,0.5,576,91
"405",0,-0.25,-0.333333333333333,0.5,288,91
"406",0,-0.25,-0.333333333333333,0.5,992,91
"407",0,-0.25,-0.333333333333333,0.5,1152,91
"408",0,-0.25,-0.333333333333333,0.5,480,91
"409",0,-0.25,-0.333333333333333,0.5,64,91
"410",0,-0.25,-0.333333333333333,0.5,256,91
"411",0,-0.25,-0.333333333333333,0.5,1248,91
"412",0,-0.25,-0.333333333333333,0.5,736,91
"413",0,-0.25,-0.333333333333333,0.5,704,91
"414",0,-0.25,-0.333333333333333,0.5,448,91
"415",0,0.75,0,0,288,95
"416",0,0.75,0,0,1024,95
"417",0,0.75,0,0,896,95
"418",0,0.75,0,0,576,95
"419",0,0.75,0,0,928,95
"420",0,0.75,0,0,672,95
"421",0,0.75,0,0,1152,95
"422",0,0.75,0,0,0,95
"423",0,0.75,0,0,320,95
"424",0,0.75,0,0,1248,95
"425",0,0.75,0,0,64,95
"426",0,0.75,0,0,704,95
"427",0,0.75,0,0,1088,95
"428",0,0.75,0,0,480,95
"429",0,0.75,0,0,448,95
"430",0,0.75,0,0,736,95
"431",0,0.75,0,0,992,95
"432",0,0.75,0,0,256,95
"433",0,-0.25,-0.333333333333333,0.5,769,11
"434",0,-0.25,-0.333333333333333,0.5,609,11
"435",0,-0.25,-0.333333333333333,0.5,353,11
"436",0,-0.25,-0.333333333333333,0.5,705,11
"437",0,-0.25,-0.333333333333333,0.5,545,11
"438",0,-0.25,-0.333333333333333,0.5,97,11
"439",0,-0.25,-0.333333333333333,0.5,1153,11
"440",0,-0.25,-0.333333333333333,0.5,1057,11
"441",0,-0.25,-0.333333333333333,-0.5,1153,15
"442",0,-0.25,-0.333333333333333,-0.5,1057,15
"443",0,-0.25,-0.333333333333333,-0.5,609,15
"444",0,-0.25,-0.333333333333333,-0.5,705,15
"445",0,-0.25,-0.333333333333333,-0.5,97,15
"446",0,-0.25,-0.333333333333333,-0.5,769,15
"447",0,-0.25,-0.333333333333333,-0.5,353,15
"448",0,-0.25,-0.333333333333333,-0.5,545,15
"449",0,-0.25,0.666666666666667,0,1057,19
"450",0,-0.25,0.666666666666667,0,609,19
"451",0,-0.25,0.666666666666667,0,97,19
"452",0,-0.25,0.666666666666667,0,1153,19
"453",0,-0.25,0.666666666666667,0,769,19
"454",0,-0.25,0.666666666666667,0,545,19
"455",0,-0.25,0.666666666666667,0,353,19
"456",0,-0.25,0.666666666666667,0,705,19
"457",0,-0.25,-0.333333333333333,0.5,705,23
"458",0,-0.25,-0.333333333333333,0.5,1057,23
"459",0,-0.25,-0.333333333333333,0.5,1153,23
"460",0,-0.25,-0.333333333333333,0.5,769,23
"461",0,-0.25,-0.333333333333333,0.5,97,23
"462",0,-0.25,-0.333333333333333,0.5,609,23
"463",0,-0.25,-0.333333333333333,0.5,353,23
"464",0,-0.25,-0.333333333333333,0.5,545,23
"465",0,0.75,0,0,97,27
"466",0,0.75,0,0,609,27
"467",0,0.75,0,0,1153,27
"468",0,0.75,0,0,769,27
"469",0,0.75,0,0,705,27
"470",0,0.75,0,0,353,27
"471",0,0.75,0,0,1057,27
"472",0,0.75,0,0,545,27
"473",0,0.75,0,0,1153,3
"474",0,0.75,0,0,97,3
"475",0,0.75,0,0,705,3
"476",0,0.75,0,0,1057,3
"477",0,0.75,0,0,545,3
"478",0,0.75,0,0,769,3
"479",0,0.75,0,0,353,3
"480",0,0.75,0,0,609,3
"481",0,-0.25,-0.333333333333333,0.5,609,31
"482",0,-0.25,-0.333333333333333,0.5,705,31
"483",0,-0.25,-0.333333333333333,0.5,1153,31
"484",0,-0.25,-0.333333333333333,0.5,769,31
"485",0,-0.25,-0.333333333333333,0.5,353,31
"486",0,-0.25,-0.333333333333333,0.5,545,31
"487",0,-0.25,-0.333333333333333,0.5,97,31
"488",0,-0.25,-0.333333333333333,0.5,1057,31
"489",0,0.75,0,0,97,35
