"","X","model","prime_type","prop_passive","se_passive","n","train","reanalysis","sd","giveup"
"168",168,"wd2","rrc",0.127906976744186,0.00735324284526354,2064,"train0.1","uncertainty1","sduniform-0.2-0.5","giveup100"
"169",169,"ep","amv",0.00222222222222222,0.00222222222222222,450,"train0.1","uncertainty1","sduniform-0.2-0.5","giveup1000"
"170",170,"ep","urc",0,0,450,"train0.1","uncertainty1","sduniform-0.2-0.5","giveup1000"
"171",171,"ep","prog_rrc",0.00888888888888889,0.00442957174982883,450,"train0.1","uncertainty1","sduniform-0.2-0.5","giveup1000"
"172",172,"ep","rrc",0.173333333333333,0.0178641800394826,450,"train0.1","uncertainty1","sduniform-0.2-0.5","giveup1000"
"173",173,"wd","amv",0.00630630630630631,0.00168048695799402,2220,"train0.1","uncertainty1","sduniform-0.2-0.5","giveup1000"
"174",174,"wd","urc",0.0234234234234234,0.00321069968315444,2220,"train0.1","uncertainty1","sduniform-0.2-0.5","giveup1000"
"175",175,"wd","prog_rrc",0.118018018018018,0.00684897157574686,2220,"train0.1","uncertainty1","sduniform-0.2-0.5","giveup1000"
"176",176,"wd","rrc",0.128828828828829,0.00711180149159131,2220,"train0.1","uncertainty1","sduniform-0.2-0.5","giveup1000"
"177",177,"wd2","amv",0.00200803212851406,0.00100325936318413,1992,"train0.1","uncertainty1","sduniform-0.2-0.5","giveup1000"
"178",178,"wd2","urc",0.0271084337349398,0.00363955931973605,1992,"train0.1","uncertainty1","sduniform-0.2-0.5","giveup1000"
"179",179,"wd2","prog_rrc",0.100401606425703,0.00673533244096585,1992,"train0.1","uncertainty1","sduniform-0.2-0.5","giveup1000"
"180",180,"wd2","rrc",0.122991967871486,0.00736045277466058,1992,"train0.1","uncertainty1","sduniform-0.2-0.5","giveup1000"
"181",181,"ep","amv",0.0537225042301184,0.00463826459155023,2364,"train0.1","uncertainty1","sdnormal-0.35-1.0","giveup100"
"182",182,"ep","urc",0.071912013536379,0.00531451257844743,2364,"train0.1","uncertainty1","sdnormal-0.35-1.0","giveup100"
"183",183,"ep","prog_rrc",0.0566835871404399,0.00475691616629669,2364,"train0.1","uncertainty1","sdnormal-0.35-1.0","giveup100"
"184",184,"ep","rrc",0.166666666666667,0.007666583868008,2364,"train0.1","uncertainty1","sdnormal-0.35-1.0","giveup100"
"185",185,"wd","amv",0.0342105263157895,0.00310864809082882,3420,"train0.1","uncertainty1","sdnormal-0.35-1.0","giveup100"
"186",186,"wd","urc",0.0491228070175439,0.00369618970340576,3420,"train0.1","uncertainty1","sdnormal-0.35-1.0","giveup100"
"187",187,"wd","prog_rrc",0.0871345029239766,0.0048233516423601,3420,"train0.1","uncertainty1","sdnormal-0.35-1.0","giveup100"
"188",188,"wd","rrc",0.11140350877193,0.00538086605577194,3420,"train0.1","uncertainty1","sdnormal-0.35-1.0","giveup100"
"189",189,"wd2","amv",0.0173453996983409,0.00253564083918663,2652,"train0.1","uncertainty1","sdnormal-0.35-1.0","giveup100"
"190",190,"wd2","urc",0.0305429864253394,0.00334206709241907,2652,"train0.1","uncertainty1","sdnormal-0.35-1.0","giveup100"
"191",191,"wd2","prog_rrc",0.0916289592760181,0.00560329068516496,2652,"train0.1","uncertainty1","sdnormal-0.35-1.0","giveup100"
"192",192,"wd2","rrc",0.0942684766214178,0.00567516015879286,2652,"train0.1","uncertainty1","sdnormal-0.35-1.0","giveup100"
"193",193,"ep","amv",0.0561181434599156,0.00472854946110671,2370,"train0.1","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"194",194,"ep","urc",0.0666666666666667,0.00512495703004656,2370,"train0.1","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"195",195,"ep","prog_rrc",0.0590717299578059,0.00484379297484052,2370,"train0.1","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"196",196,"ep","rrc",0.161181434599156,0.00755455687417182,2370,"train0.1","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"197",197,"wd","amv",0.0279202279202279,0.00278111372609163,3510,"train0.1","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"198",198,"wd","urc",0.0478632478632479,0.00360378657478649,3510,"train0.1","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"199",199,"wd","prog_rrc",0.0925925925925926,0.00489325217993417,3510,"train0.1","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"200",200,"wd","rrc",0.115954415954416,0.00540492026918964,3510,"train0.1","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"201",201,"wd2","amv",0.0177832919768404,0.00268826088541381,2418,"train0.1","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"202",202,"wd2","urc",0.0392886683209264,0.00395177114534036,2418,"train0.1","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"203",203,"wd2","prog_rrc",0.0839536807278743,0.00564079429598912,2418,"train0.1","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"204",204,"wd2","rrc",0.0909842845326716,0.00584965917061765,2418,"train0.1","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"205",205,"ep","amv",0.0567375886524823,0.0097498403399401,564,"train1.0","uncertainty1","sdnormal-0.35-1.0","giveup100"
"206",206,"ep","urc",0.0833333333333333,0.011648255793694,564,"train1.0","uncertainty1","sdnormal-0.35-1.0","giveup100"
"207",207,"ep","prog_rrc",0.0638297872340425,0.0103023170319506,564,"train1.0","uncertainty1","sdnormal-0.35-1.0","giveup100"
"208",208,"ep","rrc",0.0921985815602837,0.012192797215594,564,"train1.0","uncertainty1","sdnormal-0.35-1.0","giveup100"
"209",209,"wd","amv",0.0473484848484848,0.00925155567522761,528,"train1.0","uncertainty1","sdnormal-0.35-1.0","giveup100"
"210",210,"wd","urc",0.0435606060606061,0.00889140467834825,528,"train1.0","uncertainty1","sdnormal-0.35-1.0","giveup100"
"211",211,"wd","prog_rrc",0.071969696969697,0.0112577242879637,528,"train1.0","uncertainty1","sdnormal-0.35-1.0","giveup100"
"212",212,"wd","rrc",0.0643939393939394,0.0106921170099382,528,"train1.0","uncertainty1","sdnormal-0.35-1.0","giveup100"
"213",213,"wd2","amv",0.0272108843537415,0.00950488506095372,294,"train1.0","uncertainty1","sdnormal-0.35-1.0","giveup100"
"214",214,"wd2","urc",0.0612244897959184,0.0140058558749153,294,"train1.0","uncertainty1","sdnormal-0.35-1.0","giveup100"
